Alder,Ash,Basswood,Beech,Birch,Cedar.juniper,Cherry,Elm,Fir,Hackberry,Hemlock,Hickory,Ironwood,Maple,Oak,Pine,Poplar,Spruce,Sycamore,Tamarack,Walnut,Willow
2.94E-15,2.94E-15,7.641109986,1.47E-13,5.36E-14,2.38E-14,2.73E-15,0.00550759,1.83E-13,7.73E-14,2.91E-11,2.70E-06,6.27E-14,4.55E-14,1.505321498,2.30E-13,0.281873053,6.79E-11,1.80E-14,3.42E-13,7.43E-14,0.002565911
1.07E-15,1.07E-15,2.88E-13,3.43E-13,3.51E-14,1.08E-15,2.95E-15,1.391267535,6.85E-13,5.96E-14,2.71E-11,0.001477594,2.18E-14,5.86E-14,0.050270336,4.75E-15,5.638696407,7.64E-14,9.01E-15,2.68E-14,7.01E-14,0.000528573
1.10E-15,1.10E-15,3.04E-13,3.38E-13,3.64E-14,1.17E-15,3.00E-15,0.570365135,6.62E-13,6.01E-14,2.74E-11,0.000690705,2.36E-14,5.89E-14,0.001556391,5.67E-15,1.285640637,7.28E-14,9.23E-15,3.05E-14,7.10E-14,0.000647808
1.13E-15,1.13E-15,3.20E-13,3.32E-13,3.77E-14,1.27E-15,3.05E-15,0.164142515,6.39E-13,6.07E-14,2.76E-11,0.000349933,2.56E-14,3.387564057,4.88E-05,6.76E-15,0.178051278,6.93E-14,9.46E-15,3.47E-14,7.17E-14,0.000827891
1.16E-15,1.16E-15,3.36E-13,3.27E-13,3.90E-14,1.38E-15,3.10E-15,0.047910431,6.17E-13,6.12E-14,2.79E-11,0.000193793,2.79E-14,6.35E-14,5.16E-06,8.06E-15,0.04713474,6.60E-14,9.69E-15,3.95E-14,7.24E-14,0.001120016
1.20E-15,1.20E-15,3.51E-13,3.22E-13,4.03E-14,1.50E-15,3.14E-15,0.019073013,5.95E-13,6.17E-14,2.81E-11,0.000121823,3.06E-14,6.80E-14,4.62E-06,9.59E-15,0.041135423,6.27E-14,9.92E-15,4.51E-14,7.30E-14,0.001634121
1.24E-15,1.24E-15,3.64E-13,3.16E-13,4.16E-14,1.64E-15,3.19E-15,0.009512559,5.73E-13,6.23E-14,2.83E-11,7.85E-05,3.37E-14,7.33E-14,1.09E-05,1.14E-14,0.062476265,5.96E-14,1.02E-14,5.13E-14,7.35E-14,0.002496356
1.28E-15,1.28E-15,3.75E-13,3.11E-13,4.29E-14,1.79E-15,3.23E-15,0.005871694,5.52E-13,6.29E-14,2.84E-11,5.16E-05,3.72E-14,7.90E-14,3.33E-05,1.36E-14,0.079265364,5.66E-14,1.04E-14,5.84E-14,7.38E-14,0.003884981
1.32E-15,1.32E-15,3.82E-13,3.06E-13,4.41E-14,1.96E-15,3.27E-15,0.005229569,5.31E-13,6.34E-14,2.86E-11,3.81E-05,4.11E-14,8.47E-14,0.00014192,1.61E-14,0.047245067,5.37E-14,1.07E-14,6.63E-14,7.41E-14,0.005980748
1.36E-15,1.36E-15,3.86E-13,3.00E-13,4.54E-14,2.15E-15,3.31E-15,0.005873914,5.10E-13,6.40E-14,2.87E-11,3.09E-05,4.54E-14,8.98E-14,0.000493964,1.90E-14,0.011881941,5.09E-14,1.09E-14,7.52E-14,7.43E-14,0.008850547
1.41E-15,1.41E-15,3.88E-13,2.95E-13,4.66E-14,2.36E-15,3.34E-15,0.00729077,4.90E-13,6.46E-14,2.88E-11,2.60E-05,5.00E-14,9.40E-14,0.001313664,2.25E-14,0.001795503,4.83E-14,1.12E-14,8.50E-14,7.44E-14,0.012057779
1.46E-15,1.46E-15,3.88E-13,2.89E-13,4.77E-14,2.60E-15,3.38E-15,0.010194634,4.70E-13,6.51E-14,2.89E-11,2.19E-05,5.50E-14,9.65E-14,0.003733779,2.65E-14,0.000350362,4.57E-14,1.15E-14,9.58E-14,7.45E-14,0.014845555
1.51E-15,1.51E-15,3.88E-13,2.83E-13,4.88E-14,2.86E-15,3.41E-15,0.019206345,4.51E-13,6.57E-14,2.90E-11,1.81E-05,6.03E-14,9.69E-14,0.015997995,3.12E-14,0.000230576,4.33E-14,1.17E-14,1.08E-13,7.45E-14,0.017384583
1.56E-15,1.56E-15,3.90E-13,2.78E-13,4.99E-14,3.15E-15,3.44E-15,0.053717667,4.33E-13,6.63E-14,2.90E-11,1.50E-05,6.57E-14,9.52E-14,0.084641876,3.67E-14,0.000780064,4.10E-14,1.20E-14,1.20E-13,7.44E-14,0.021746924
1.62E-15,1.62E-15,3.27E-10,2.72E-13,5.09E-14,3.48E-15,3.46E-15,0.206697516,4.14E-13,6.69E-14,2.90E-11,1.29E-05,7.11E-14,9.17E-14,0.435639019,4.29E-14,0.010783545,3.88E-14,1.23E-14,0.001918567,7.43E-14,0.031822158
1.67E-15,1.67E-15,0.000125698,2.66E-13,5.19E-14,3.84E-15,3.48E-15,0.691744112,3.97E-13,6.75E-14,2.90E-11,1.17E-05,7.63E-14,8.70E-14,1.400173885,5.00E-14,0.121914629,3.67E-14,1.26E-14,1.58E-07,7.41E-14,0.050883164
1.73E-15,1.73E-15,1.17758415,2.60E-13,5.27E-14,4.25E-15,3.50E-15,1.445709288,3.79E-13,6.81E-14,2.90E-11,1.08E-05,8.13E-14,8.19E-14,2.127859574,5.82E-14,0.387327621,3.47E-14,1.29E-14,1.63E-13,7.40E-14,0.081420462
1.79E-15,1.79E-15,8.787045757,2.54E-13,5.35E-14,4.71E-15,3.51E-15,1.384797319,3.63E-13,6.87E-14,2.90E-11,9.79E-06,8.58E-14,7.67E-14,1.19270825,6.73E-14,0.147120314,3.29E-14,1.32E-14,1.78E-13,7.38E-14,0.118507226
1.86E-15,1.86E-15,0.00324624,2.47E-13,5.43E-14,5.21E-15,3.51E-15,0.514698942,3.46E-13,6.93E-14,2.89E-11,8.46E-06,8.98E-14,7.19E-14,0.225605233,7.75E-14,0.004687691,3.11E-14,1.35E-14,1.93E-13,7.36E-14,0.146022854
1.92E-15,1.92E-15,5.47E-10,2.41E-13,5.49E-14,5.78E-15,3.51E-15,0.124124457,3.31E-13,7.00E-14,2.88E-11,7.05E-06,9.31E-14,6.77E-14,0.030533147,8.88E-14,7.23E-05,2.95E-14,1.38E-14,2.08E-13,7.35E-14,0.157056177
1.99E-15,1.99E-15,2.84E-13,2.34E-13,5.54E-14,5.95E-09,3.51E-15,0.039768938,3.16E-13,7.06E-14,2.87E-11,5.90E-06,9.56E-14,6.40E-14,0.008439497,1.01E-13,5.72E-06,2.79E-14,1.42E-14,2.23E-13,7.34E-14,0.153336075
2.06E-15,2.06E-15,2.46E-13,2.27E-13,5.58E-14,4.68E-11,3.49E-15,0.036116743,3.01E-13,7.12E-14,2.86E-11,5.24E-06,9.73E-14,6.08E-14,0.010148529,1.14E-13,1.50E-05,2.65E-14,1.45E-14,2.37E-13,7.33E-14,0.146427165
2.14E-15,2.14E-15,2.11E-13,2.21E-13,5.61E-14,7.92E-15,3.48E-15,0.096446711,2.87E-13,7.19E-14,2.85E-11,4.90E-06,9.81E-14,5.82E-14,0.042276198,1.29E-13,0.000640009,2.51E-14,1.48E-14,2.50E-13,7.32E-14,0.139846891
2.21E-15,2.21E-15,1.78E-13,2.14E-13,5.62E-14,8.82E-15,3.45E-15,0.464219395,2.74E-13,7.25E-14,2.84E-11,4.74E-06,9.81E-14,5.60E-14,0.280083491,1.43E-13,0.0459732,2.39E-14,1.52E-14,2.62E-13,7.32E-14,0.127660448
2.29E-15,2.29E-15,1.50E-13,2.07E-13,5.62E-14,9.82E-15,3.42E-15,2.072881561,2.61E-13,7.32E-14,2.82E-11,4.73E-06,9.71E-14,5.41E-14,1.115318877,1.58E-13,0.397218508,2.27E-14,1.56E-14,2.72E-13,7.32E-14,0.103654026
2.53E-15,2.53E-15,8.71E-14,1.85E-13,5.53E-14,1.36E-14,3.28E-15,3.833456567,2.26E-13,7.51E-14,2.78E-11,5.21E-06,8.92E-14,4.99E-14,0.186817263,0.111686372,5.35E-06,1.98E-14,1.67E-14,2.94E-13,7.35E-14,0.023870403
2.62E-15,2.62E-15,7.28E-14,1.78E-13,5.47E-14,1.52E-14,3.22E-15,0.717908627,2.15E-13,7.58E-14,2.76E-11,5.22E-06,8.51E-14,4.89E-14,0.030858649,2.12E-13,4.01E-08,1.90E-14,1.71E-14,2.97E-13,7.37E-14,0.012564218
2.71E-15,2.71E-15,6.13E-14,1.70E-13,5.40E-14,1.70E-14,3.16E-15,0.090563261,2.05E-13,7.65E-14,2.75E-11,5.07E-06,9.23E-10,4.80E-14,0.008231379,2.21E-13,3.20E-09,1.83E-14,1.75E-14,2.99E-13,7.39E-14,0.006937448
2.80E-15,2.80E-15,5.21E-14,1.63E-13,5.33E-14,1.91E-14,3.10E-15,0.012148747,1.96E-13,7.72E-14,2.73E-11,4.79E-06,9.99E-05,4.72E-14,0.006397783,2.27E-13,8.33E-09,1.77E-14,1.79E-14,2.99E-13,7.41E-14,0.004247942
2.89E-15,2.89E-15,4.51E-14,1.56E-13,5.26E-14,2.13E-14,3.03E-15,0.00225222,1.87E-13,7.79E-14,2.71E-11,4.48E-06,6.97E-14,4.65E-14,0.012716103,2.31E-13,3.16E-07,1.71E-14,1.83E-14,2.98E-13,7.43E-14,0.002850021
2.99E-15,2.99E-15,1.16E-06,1.49E-13,5.19E-14,2.39E-14,2.95E-15,0.000714784,1.79E-13,7.86E-14,2.70E-11,4.20E-06,6.41E-14,1.01E-10,0.044086473,2.32E-13,3.20E-05,1.66E-14,1.87E-14,2.95E-13,7.46E-14,0.002090719
3.08E-15,3.08E-15,2.93E-05,1.42E-13,5.14E-14,2.67E-14,2.88E-15,0.000548191,1.71E-13,7.93E-14,2.68E-11,3.95E-06,5.84E-14,6.58E-09,0.195575421,2.29E-13,0.001381003,1.61E-14,1.92E-14,2.90E-13,7.48E-14,0.001803149
1.08E-15,1.08E-15,2.77E-13,3.42E-13,3.46E-14,1.07E-15,3.16E-15,0.63684396,6.80E-13,6.06E-14,2.55E-11,0.00187724,2.15E-14,6.68E-14,0.049643576,4.61E-15,0.998503503,7.95E-14,9.37E-15,2.36E-14,7.08E-14,0.000617142
1.11E-15,1.11E-15,2.93E-13,3.37E-13,3.59E-14,1.16E-15,3.22E-15,0.294808613,6.57E-13,6.11E-14,2.57E-11,0.000861742,2.33E-14,6.73E-14,0.001523931,5.50E-15,0.312692485,7.58E-14,9.60E-15,2.69E-14,7.17E-14,0.000757832
1.14E-15,1.14E-15,3.09E-13,3.31E-13,3.73E-14,1.26E-15,3.27E-15,0.09990219,6.35E-13,6.17E-14,2.60E-11,0.000412119,2.53E-14,0.267154373,3.79E-05,6.57E-15,0.073885612,7.22E-14,9.83E-15,3.06E-14,7.24E-14,0.000971036
1.18E-15,1.18E-15,3.25E-13,3.26E-13,3.86E-14,1.36E-15,3.32E-15,0.035611961,6.12E-13,6.22E-14,2.62E-11,0.000222792,2.77E-14,7.21E-14,3.55E-06,7.83E-15,0.032094899,6.87E-14,1.01E-14,3.49E-14,7.31E-14,0.001344958
1.21E-15,1.21E-15,3.41E-13,3.21E-13,3.99E-14,1.49E-15,3.37E-15,0.01860328,5.90E-13,6.28E-14,2.64E-11,0.000139649,3.04E-14,7.68E-14,3.21E-06,9.33E-15,0.040680104,6.53E-14,1.03E-14,3.99E-14,7.37E-14,0.002042611
1.25E-15,1.25E-15,3.55E-13,3.16E-13,4.12E-14,1.62E-15,3.42E-15,0.013178345,5.69E-13,6.33E-14,2.66E-11,9.32E-05,3.36E-14,8.23E-14,9.11E-06,1.11E-14,0.080324667,6.21E-14,1.06E-14,4.55E-14,7.42E-14,0.003300544
1.29E-15,1.29E-15,3.66E-13,3.11E-13,4.25E-14,1.77E-15,3.47E-15,0.012218897,5.47E-13,6.39E-14,2.67E-11,6.52E-05,3.72E-14,8.83E-14,3.86E-05,1.32E-14,0.130069931,5.89E-14,1.08E-14,5.19E-14,7.45E-14,0.005489712
1.33E-15,1.33E-15,3.74E-13,3.06E-13,4.38E-14,1.94E-15,3.52E-15,0.014941404,5.27E-13,6.45E-14,2.69E-11,4.93E-05,4.13E-14,9.42E-14,0.000187292,1.57E-14,0.113427733,5.59E-14,1.11E-14,5.90E-14,7.48E-14,0.009061768
1.38E-15,1.38E-15,3.78E-13,3.00E-13,4.50E-14,2.13E-15,3.56E-15,0.021110442,5.06E-13,6.51E-14,2.70E-11,4.00E-05,4.59E-14,9.97E-14,0.000696108,1.86E-14,0.04671922,5.30E-14,1.14E-14,6.71E-14,7.49E-14,0.014193722
1.43E-15,1.43E-15,3.77E-13,2.95E-13,4.62E-14,2.34E-15,3.60E-15,0.029760205,4.86E-13,6.56E-14,2.71E-11,3.31E-05,5.08E-14,1.04E-13,0.001733489,2.20E-14,0.011021719,5.02E-14,1.16E-14,7.60E-14,7.50E-14,0.01986273
1.47E-15,1.47E-15,3.75E-13,2.90E-13,4.74E-14,2.58E-15,3.64E-15,0.04249424,4.67E-13,6.62E-14,2.71E-11,2.68E-05,5.62E-14,1.06E-13,0.004254062,2.59E-14,0.00293392,4.76E-14,1.19E-14,8.58E-14,7.50E-14,0.023787412
1.53E-15,1.53E-15,3.73E-13,2.84E-13,4.85E-14,2.84E-15,3.68E-15,0.080249832,4.47E-13,6.68E-14,2.72E-11,2.12E-05,6.18E-14,1.06E-13,0.019719223,3.06E-14,0.00302921,4.51E-14,1.22E-14,9.64E-14,7.49E-14,0.025674095
1.58E-15,1.58E-15,2.27E-08,2.79E-13,4.96E-14,3.13E-15,3.71E-15,0.18656953,4.29E-13,6.74E-14,2.72E-11,1.70E-05,6.75E-14,1.03E-13,0.098666718,3.59E-14,0.008925635,4.26E-14,1.25E-14,1.08E-13,7.48E-14,0.028753821
1.64E-15,1.64E-15,0.000115238,2.73E-13,5.06E-14,3.45E-15,3.74E-15,0.497109122,4.10E-13,6.80E-14,2.72E-11,1.47E-05,7.33E-14,9.77E-14,0.434477469,4.21E-14,0.052175811,4.03E-14,1.28E-14,1.20E-13,7.46E-14,0.037533074
1.70E-15,1.70E-15,0.230025467,2.67E-13,5.15E-14,3.82E-15,3.77E-15,1.03480425,3.93E-13,6.86E-14,2.72E-11,1.38E-05,7.89E-14,9.13E-14,1.044584543,4.91E-14,0.149336611,3.82E-14,1.31E-14,1.33E-13,7.44E-14,0.054507008
