"","PINUSX","prairie","QUERCUS","BETULA","other_herbs","CYPERACE","ALNUSX","OSTRYCAR","ULMUS","TSUGAX","PICEAX","ACERX","FRAXINUX","POPULUS","CUPRESSA","other_trees","LARIXPSEU","FAGUS","CARYA","TILIA","ABIES","JUGLANSX","site.name","age_bacon","site_index_pol"
"389",39,627,120,6,80,76,3,1,0,0,5,0,1,0,0,4,0,0,0,0,0,0,"Stone Lake Tamarack Swamp",1675.78,"67"
"390",49,716,77,4,55,93,6,0,4,0,2,2,7,0,1,2,0,0,0,1,0,0,"Stone Lake Tamarack Swamp",1767.86,"67"
"391",40,652,75,4,24,139,5,2,4,0,1,2,3,0,0,3,0,0,0,2,0,0,"Stone Lake Tamarack Swamp",1841.74,"67"
"392",45,1094,117,13,34,36,4,2,6,1,4,2,6,1,0,3,0,0,1,0,0,0,"Stone Lake Tamarack Swamp",1944.84,"67"
"393",36,1500,139,13,55,41,4,1,4,0,3,2,3,1,0,4,0,0,2,1,0,0,"Stone Lake Tamarack Swamp",2316.08,"67"
"394",35,612,147,16,46,32,7,12,12,0,0,2,3,0,0,3,0,0,1,6,0,4,"Stone Lake Tamarack Swamp",2617.1,"67"
"395",30,601,135,16,45,58,11,7,10,0,0,0,3,0,1,3,0,0,1,4,0,2,"Stone Lake Tamarack Swamp",2991.08,"67"
"396",33,108,163,13,13,26,6,12,11,0,0,4,5,0,0,4,0,0,3,7,0,3,"Stone Lake Tamarack Swamp",3398.52,"67"
"397",30,130,147,15,17,13,5,12,15,0,5,3,6,0,1,1,0,0,3,5,1,0,"Stone Lake Tamarack Swamp",3753.82,"67"
"398",33,132,94,13,25,22,9,7,9,0,1,2,2,0,1,2,0,0,1,4,0,0,"Stone Lake Tamarack Swamp",4477.02,"67"
"399",24,153,80,11,29,27,6,12,11,0,0,3,3,1,0,7,0,0,1,3,0,1,"Stone Lake Tamarack Swamp",5103.72,"67"
"400",34,219,65,7,18,14,7,6,8,0,1,0,3,2,1,5,0,0,0,2,0,0,"Stone Lake Tamarack Swamp",5421.44,"67"
"401",29,250,56,9,67,39,5,5,13,0,4,7,5,0,2,16,1,0,0,2,0,0,"Stone Lake Tamarack Swamp",6119.56,"67"
"402",25,232,49,5,30,47,6,12,12,0,2,6,6,2,0,20,0,0,0,3,0,0,"Stone Lake Tamarack Swamp",6469.76,"67"
"403",39,253,53,3,25,75,7,2,2,0,7,3,9,1,0,19,0,0,0,0,0,0,"Stone Lake Tamarack Swamp",6754.98,"67"
"404",25,190,42,5,28,43,2,5,3,0,1,4,5,1,0,11,0,0,0,2,0,0,"Stone Lake Tamarack Swamp",7107.68,"67"
"405",20,195,56,30,37,32,10,5,18,0,9,6,6,1,1,19,0,0,1,1,0,0,"Stone Lake Tamarack Swamp",7781.28,"67"
"406",44,192,57,8,19,73,2,10,17,0,2,0,5,5,0,7,0,0,1,1,0,0,"Stone Lake Tamarack Swamp",8110.26,"67"
"407",39,111,75,24,20,10,6,11,38,0,5,2,4,1,0,3,0,0,0,4,0,1,"Stone Lake Tamarack Swamp",8447.06,"67"
"408",49,162,64,6,12,14,4,23,56,0,3,3,2,1,0,3,0,0,1,6,0,2,"Stone Lake Tamarack Swamp",8829.22,"67"
"409",51,101,82,18,18,14,11,21,75,0,2,2,10,3,1,7,0,0,8,2,0,0,"Stone Lake Tamarack Swamp",9156.4,"67"
