"","x","y","cell","Alder","Ash","Basswood","Beech","Birch","Black gum","Buckeye","Cedar/juniper","Cherry","Dogwood","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","No tree","Oak","Other hardwood","Pine","Poplar","Spruce","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
"115",-27000,1174000,11846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",-27000,1182000,11550,0,0,0,0,0,0,0,0,0,0,46.4947004541755,0,0,0,0,0,0,0,204.148188247609,0,0,79.9466319472666,0,0,0,0,0,0,0
"117",-27000,1198000,10958,0,46.9109743063505,0,0,0,0,0,0,0,0,262.350832859387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",-27000,1206000,10662,0,0,0,0,0,0,0,0,0,0,26.5284021777781,0,0,0,0,0,0,0,6.48703815230142,0,0,0,0,0,0,0,0,0,0
"119",-27000,1214000,10366,0,0,0,0,0,0,0,0,0,0,78.6449818598714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",-27000,1222000,10070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",-27000,1230000,9774,0,0,27.3966730565562,0,0,0,0,0,0,0,22.7911986174867,0,0,0,0,0,0,0,8.85745083485086,0,0,0,0,0,0,0,0,0,0
"122",-27000,1238000,9478,0,6.7181306352902,6.03044350241275,0,0,0,0,0,0,0,0,0,0,0,0,31.0422839135458,0,0,451.375138068294,0,0,9.3761446135113,0,0,0,0,0,0,0
"123",-27000,1246000,9182,0,91.5285705612873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.6043832877714,0,0,3.16268200055363,0,0,0,0,0,0,0
"124",-27000,1254000,8886,0,26.8998803193881,0,0,0,0,0,0,0,0,5.12973479890096,0,0,0,0,0,0,0,153.046072410652,0,0,0,0,0,0,0,0,0,0
"125",-27000,1262000,8590,0,0,0,0,0,0,0,0,0,0,130.295837872664,0,0,0,0,0,0,0,93.8953892411678,0,0,0,0,0,0,0,0,0,0
"126",-27000,1342000,5630,0,0,190.730219246617,0,0,0,0,0,0,0,0,0,0,0,0,12.459163122727,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",-27000,1350000,5334,0,3.17894885682445,54.5994483828572,0,0,0,0,0,0,0,33.2392738311331,0,0,0,0,0,0,0,29.4330364119318,0,0,0,0,0,0,0,0,0,0
"128",-27000,1358000,5038,0,0,0,0,0,0,0,0,0,0,4.06203095257991,0,0,0,0,0,0,0,0,0,0,18.9053520214775,0,0,0,0,0,0,0
"129",-27000,1374000,4446,0,0,34.3140052111997,0,0,0,0,0,0,0,11.7598409249635,0,0,0,0,0,0,0,24.0222303505594,0,0,0,0,0,0,0,0,0,0
"130",-27000,1382000,4150,0,0.280086215575743,0,0,0,0,0,0,0,0,71.443797105964,0,0,0,0,0,0,0,350.430076196776,0,0,0,0,0,0,0,0,0,1.31580835400858
"131",-27000,1390000,3854,0,4.66766412747574,0,0,0,0,0,0,0,0,43.5210822214434,0,0,0,0,0,29.120535642163,0,261.259911119697,0,0,0,0,0,0,0,0,0,0
