"","X","dataset","lat","long","in.calib.sample","biomass","PINUSX","prairie","QUERCUS","BETULA","other_herbs","CYPERACE","ALNUSX","OSTRYCAR","ULMUS","TSUGAX","PICEAX","ACERX","FRAXINUX","POPULUS","CUPRESSA","other_trees","LARIXPSEU","FAGUS","CARYA","TILIA","ABIES","JUGLANSX"
"98",98,"25306",43.21822,-83.45983,1,12.2533592641491,44,127,145,27,34,29,10,44,16,0,3.5,17,7,6,0,18,0,0,1,6,0,0
"99",99,"2581",46.662222,-96.25,0,45.6555969240822,51.5,142,117,46,22,32,6,34,15,0,4.5,3,7,11,0,18,0,0,1,5,0,0
"100",100,"2584",45.725,-93.466667,0,126.093120065632,224,25,41,35,32,6,17,8,1,2,0,2,4,2,0,1,3,0,1,1,0,1
"101",101,"2585",45.572222,-93.408333,1,123.498778474145,153,8,2,52,6,3,3,3,2,9,8,4,2,0,0,0,1,0,0,1,1,0
"102",102,"2586",46.47,-86.958333,1,45.0517342873633,29.5,91,86,41,23,25,8,49,19,0,2.5,19,3,5,0,3,0,0,0,10,0,1
"103",103,"2600",44.626875,-93.43352,1,36.0003184575608,301,26,57,55,23,2,20,11,3,6,3,5,5,8,0,4,0,1,3,0,1,2
"104",104,"2605",45.4,-93.522222,1,34.9993451519531,239,20,66,113,16,7,34,4,11,4,7,1,3,7,0,0,0,1,1,5,2,0
"105",105,"2613",44.874722,-93.1,1,30.5908175680102,219,25,64,60,24,3,26,9,4,1,8,5,3,7,0,0,0,0,1,0,2,0
"106",106,"2624",44.15,-91.45,1,30.5997121220679,342,23,35,59,22,5,11,3,6,1,5,6,2,13,0,0,0,0,2,0,1.5,0
"107",107,"2638",47.19324,-95.786645,0,75.3402640158248,315,15,29,116,20,4,20,5,8,22,9,5,1,3,0,0,0,2,1,1,7,1
"108",108,"2640",47.19482,-96.09332,1,127.34161101664,353,13,28,67,19,0,11,8,6,10,3,8,2,3,0,0,0,0,0,1,3,1
"109",109,"2648",45.40895,-93.981715,0,72.0904701822176,244,8,17,185,97,0,38,3,10,2,4,8,1,6,0,1,0,0,0,2,2,1
"110",110,"272",47.559175,-94.970775,1,30.1891478778075,299,16,34,53,18,0,13,5,8,2,7,2,6,3,0,1,0,0,0,1,0,0
"111",111,"275",46.27058,-94.551555,1,30.59220003532,331,24,59,51,19,5,9,3,5,7,9,5,0,9,0,0,1,0,0,2,1,0
"112",112,"280",47.133333,-93.666667,1,30.5908175680102,159,13,19,34,14,1,15,3,8,1,2,2,1,4,0,1,0,0,1,0,2,0
"113",113,"287",43.083333,-89.866667,0,30.5997121220679,130,11,29,20,9,3,11,1,1,2,3,4,3,8,0,1,0,0,1,0,0,0
"114",114,"2881",45.848889,-93.167778,1,130.865287462269,459,14,29,104,8,2,14,5,4,34,17,6,4,1,0,0,0,1,1,1,5,1
"115",115,"2888",46.184444,-95.306944,1,31.6796448286025,313,28,72,98,29,7,35,7,13,0,6,7,9,4,0,4,0,0,1,1,3.5,2
"116",116,"29",44.8036,-94.5579,1,122.439375766148,250,25,24,105,21,3,24,2,4,23,7,6,4,2,0,0,0,0,1,0,4,0
"117",117,"2919",42.35154,-88.18475,1,94.5463759107047,188,6,11,53,12,0,7,1,2,17,4,3,0,4,3,0,1,0,1,0,4,0
"118",118,"2948",46.95,-94.95,1,115.896740067664,193,10,15,71,14,1,29,1,2,14,9,2,7,3,0,0,2,0,1,0,5,0
"119",119,"2952",46.086111,-93.102778,0,30.5997121220679,279,22,40,68,18,3,21,3,3,1,9,6,4,9,0,0,0,0,1,0,0,2
"120",120,"296",46.633611,-92.614722,0,124.830139730913,291,44,14,119,12,3,16,5,5,19,12,8,3,3,0,1,1,0,0,0,9,3
"121",121,"2961",42.4,-85.383333,1,31.6796448286025,285,22,52,87,30,7,16,3,6,1,3,5,8,9,0,2,0,0,1,0,2,1
"122",122,"298",47.1775,-95.162675,1,30.5997121220679,444,17,33,55,23,0,10,3,0,1,7,1,3,2,0,1,0,0,0,0,1,0
"123",123,"3031",45.005015,-93.57276,1,115.896740067664,241,14,15,87,17,1,10,7,7,26,6,3,2,4,0,0,0,0,0,0,2,0
"124",124,"3032",46.429167,-85.661111,1,72.0904701822176,321,18,38,143,19,2,13,5,12,34,7,7,4,2,0,2,0,0,1,2,5,0
"125",125,"3035",45.333333,-90.083333,0,72.0904701822176,370,12,26,145,20,0,10,3,10,25,16,3,1,7,0,0,0,1,0,0,9,1
"126",126,"305",44.296475,-93.73571,1,30.0147183541247,267,14,39,50,15,4,20,2,6,1,4,2,5,6,0,0,3,0,0,1,1,3
