"","name","ID","sigma","group"
"575","Cedar Bog",3717,0.24,4
"576","Cedar Bog",3718,0.27,4
"577","Cedar Bog",3719,0.03,5
"578","Cedar Bog",3720,0.06,5
"579","Cedar Bog",3721,0.09,5
"580","Cedar Bog",3722,0.12,5
"581","Cedar Bog",3723,0.15,5
"582","Cedar Bog",3724,0.18,5
"583","Cedar Bog",3725,0.21,5
"584","Cedar Bog",3726,0.24,5
"585","Cedar Bog",3727,0.27,5
"586","Cedar Bog",3728,0.03,6
"587","Cedar Bog",3729,0.06,6
"588","Cedar Bog",3730,0.09,6
"589","Cedar Bog",3731,0.12,6
"590","Cedar Bog",3732,0.15,6
"591","Cedar Bog",3733,0.18,6
"592","Cedar Bog",3734,0.21,6
"593","Cedar Bog",3735,0.24,6
"594","Cedar Bog",3736,0.27,6
"595","Cedar Bog",3737,0.03,7
"596","Cedar Bog",3738,0.06,7
"597","Cedar Bog",3739,0.09,7
"598","Cedar Bog",3740,0.12,7
"599","Cedar Bog",3741,0.15,7
"600","Cedar Bog",3742,0.18,7
"601","Cedar Bog",3743,0.21,7
"602","Cedar Bog",3744,0.24,7
"603","Cedar Bog",3745,0.27,7
"604","Cedar Bog",3746,0.03,8
"605","Cedar Bog",3747,0.06,8
"606","Cedar Bog",3748,0.09,8
"607","Cedar Bog",3749,0.12,8
"608","Cedar Bog",3750,0.15,8
"609","Cedar Bog",3751,0.18,8
"610","Cedar Bog",3752,0.21,8
"611","Cedar Bog",3753,0.24,8
"612","Cedar Bog",3754,0.27,8
"613","Cedar Bog",3755,0.03,9
"614","Cedar Bog",3756,0.06,9
"615","Cedar Bog",3757,0.09,9
"616","Cedar Bog",3758,0.12,9
"617","Cedar Bog",3759,0.15,9
"618","Cedar Bog",3760,0.18,9
"619","Cedar Bog",3761,0.21,9
"620","Cedar Bog",3762,0.24,9
"621","Cedar Bog",3763,0.27,9
"622","Cedar Bog",3764,0.03,10
"623","Cedar Bog",3765,0.06,10
"624","Cedar Bog",3766,0.09,10
"625","Cedar Bog",3767,0.12,10
"626","Cedar Bog",3768,0.15,10
"627","Cedar Bog",3769,0.18,10
"628","Cedar Bog",3770,0.21,10
"629","Cedar Bog",3771,0.24,10
"630","Cedar Bog",3772,0.27,10
"631","Chippewa Bog",3773,0.03,1
"632","Chippewa Bog",3774,0.06,1
"633","Chippewa Bog",3775,0.09,1
"634","Chippewa Bog",3776,0.12,1
"635","Chippewa Bog",3777,0.15,1
"636","Chippewa Bog",3778,0.18,1
"637","Chippewa Bog",3779,0.21,1
"638","Chippewa Bog",3780,0.24,1
"639","Chippewa Bog",3781,0.27,1
"640","Chippewa Bog",3782,0.03,2
"641","Chippewa Bog",3783,0.06,2
"642","Chippewa Bog",3784,0.09,2
"643","Chippewa Bog",3785,0.12,2
"644","Chippewa Bog",3786,0.15,2
"645","Chippewa Bog",3787,0.18,2
"646","Chippewa Bog",3788,0.21,2
"647","Chippewa Bog",3789,0.24,2
"648","Chippewa Bog",3790,0.27,2
"649","Chippewa Bog",3791,0.03,3
"650","Chippewa Bog",3792,0.06,3
"651","Chippewa Bog",3793,0.09,3
"652","Chippewa Bog",3794,0.12,3
"653","Chippewa Bog",3795,0.15,3
"654","Chippewa Bog",3796,0.18,3
"655","Chippewa Bog",3797,0.21,3
"656","Chippewa Bog",3798,0.24,3
"657","Chippewa Bog",3799,0.27,3
"658","Chippewa Bog",3800,0.03,4
"659","Chippewa Bog",3801,0.06,4
"660","Chippewa Bog",3802,0.09,4
"661","Chippewa Bog",3803,0.12,4
"662","Chippewa Bog",3804,0.15,4
"663","Chippewa Bog",3805,0.18,4
"664","Chippewa Bog",3806,0.21,4
"665","Chippewa Bog",3807,0.24,4
"666","Chippewa Bog",3808,0.27,4
"667","Chippewa Bog",3809,0.03,5
"668","Chippewa Bog",3810,0.06,5
"669","Chippewa Bog",3811,0.09,5
"670","Chippewa Bog",3812,0.12,5
"671","Chippewa Bog",3813,0.15,5
"672","Chippewa Bog",3814,0.18,5
